java项目用内存数据库解决session共享的问题，您建议用哪个较好,java项目中用内存数据库解决session共享的问题，您建议用memcache和redis哪个较好？谢谢,数据库选取跟语言应该不太相关， 主要看你的需求、业务场景吧,2017/6/5
论文,想请问一下教授，这些论文我们可以去哪里看呢，有没有链接或网站之类的？,"MoentetDB（Vectorwise）和Hyper是两个具有代表性技术的数据库系统，网站上有相关论文下载链接，感兴趣的学员可以通过网站下载相关论文。MonetDB相关论文：https://www.monetdb.org/Home/ScienceLibrary中的 CWI repository链接Hyper数据库相关论文：https://www.hyper-db.de/",2017/5/16
大数据怎样才能很好的处理呢老师？,大数据怎样才能很好的处理呢老师？,"数据库应用范围很大，当前一个代表性的应用领域是基于大数据平台的data warehousing应用，即低成本，高可扩展性Hadoop平台上的数据仓库技术，即SQL on Hadoop。传统数据仓库最关键的问题是性能，基于大数据平台的SQL on Hadoop面临着同样的性能问题甚至更严重的性能问题，其中Actian Vector H是一个具有代表性的技术，它将高性能内存数据库技术与Hadoop存储技术相融合。https://www.actian.com/analytic-database/vectorh-sql-hadoop/ 当然，大数据技术应用范围极广，需求也是多样化，没有单一的技术或解决方案能够适应全部需求。从数据库技术视角来看，数据库长期积累的丰富查询处理和优化技术的理论与实践仍然具有重要的参考作用，数据库与Hadoop技术相结合，相融合也是一个取长补短的技术路线。",2017/5/14
这门课程的入门要求,作为一名对大数据技术感兴趣的中学老师，可以学习这门课程吗？没什么这方面的基础啊。,内存数据库偏重基于内存计算平台的数据库实现技术，先行课包括:数据库系统概念，了解数据库基本理论，关键实现技术和SQL语言；数据仓库与OLAP，了解分析型数据库，数据仓库和OLAP的基本概念与理论，从而理解内存数据库的查询优化技术实现的目标；数据库系统实现技术，了解数据库实现技术，尤其是SQL查询处理实现技术，内存数据库是面向内存计算平台的数据库系统实现技术，传统数据库系统实现技术课程主要面向磁盘数据库的系统实现技术，内存数据库相当于基于内存计算平台的数据库系统实现技术。,2017/5/13
"各位老师能否提供论文资源啊，从学校出来发现看论文都要付费了老师参与",各位老师能否提供论文资源啊，从学校出来发现看论文都要付费了,"同学你好！今天发布了20篇MMDB的相关论文，供大学学习使用。位于：第2讲 内存数据库（续）——>MMDB相关论文。CWI网站上的链接过几天再试试，以前一直好使，可能最近有问题。
CWI上MonetDB相关论文很多，有助于理解内存数据库发展的技术变革历程。",2017/5/13
现在想深入学习内存数据库，可否推荐常用的内存数据库？,推荐1-2个常用的内存数据库，作为学习的对象,"memcache和redis属于内存key-value存储，不管完全意义的数据库。内存数据库主要分为两大类，内存OLTP数据库，以Oracle Timesten，IBM SolidDB，SQL Server Hekaton为代表，可以试试能不能找到试用版，SQL Server2016内置了Hekaton引擎，大家可以尝试一下。内存OLAP数据库以实时分析处理为主，代表性的系统有Hyper，MonetDB，Actian Vector，IBM BLU，SQL Server Apollo引擎等，其中MonetDB是开源开存储内存OLAP引擎，可以下载学习和使用；Actian Vector可以下载试用版，可以作为学习的实验平台。建议大家在内存OLAP数据库上进行SSB或TPC-H测试，通过性能对比了解不同内存数据库查询处理实现技术的性能特征。",2017/5/11
众合处理机制,众合处理机制,"众核处理器吧？早期的说法是8核以下的处理器称为多核处理器，8核以上的处理器称为众核处理器。当前Intel Xeon系统多核处理器最多达到24核，多核处理器主要特点是每核心有私有的L1，L2 cache和共享的L3 cache.众核处理器包括Intel最新的Phi融核处理器https://www.intel.cn/content/www/cn/zh/products/processors/xeon-phi.html），核心数量最大达到72核，主要特点是每核心有私有的L1 cache和共享的L2 cache，没有L3共享cache。NVIDIA 的GPU也算作多核处理器，也叫作加速器，以Tesla K80为例，共有4992个cuda核心。核心越多，支持的并行处理线程越多，并行处理能力越强大。
当前众核处理器已成为事实上的高性能计算平台，内存数据库同样需要适应新型众核处理器平台以提供更强大的查询处理性能",2017/5/10
如何将较大的数据划分为适合cache大小的数据？,怎么判断这些数据是否适合cache，cache的大小在存储数据和链表的时候会发生变化吗？,"ache是硬件级的配置，在Intel x86系统Xeon服务器上通常为每核心32KB L1数据cache和指令cache，256KB L2 cache，2.5MB L3 cache slice，共享L3 cache，即LLC大小可以计算为核心数量*2.5MB。cache访问的基本单位是cache line，通常为64字节大小。因此，内存数据库的cache-conscious算法设计要充分考虑内存一次访问的最小单位cache line大小和各级cache大小。如磁盘数据库中的B+树索引的节点以磁盘I/O单位（4KB或8KB）来组织节点内的索引数据存储，而内存B+树则将索引节点组织为一个cache line大小（64字节），因此需要优化索引节点的指针结构，如CSB+-Tree索引通过连接存储消除指针存储，提高cache line存储效率。在连接操作中，常见的优化技术是将较大的连接表通过分区partition技术划分为适合cache大小的较小分区，从而保证其上创建的哈希表适合cache大小，以保证连接操作的哈希探测在cache内进行，减少高延迟的内存访问。在以cache为中心的处理器平台上，查询优化技术的核心是如何利用cache减少内存访问延迟，主要体现在数据组织，数据存储和数据访问等方面。",2017/5/9
第一节课中提到的SEARCH是什么意思？,第16页中，提到了不同类型的数据库系统，其中 Search（Hadoop）的Search是指什么呢？因为我理解中Hadoop的HDFS是作为海量数据的存储空间，他和搜索有什么关系？？,指用于“”搜索“”一类的系统。,2017/5/8
数据为什么要压缩,数据为什么要压缩,"数据压缩主要的目标是节省存储空间。在OLAP应用中主要采用列存储，由于相同数据类型与形式的数据连续存储在一起，因此数据压缩的效率较传统的行存储高很多，数据压缩通常能够达到10-20倍的压缩比，数据存储效率得到较大的提高。尤其在内存数据库应用中，DRAM仍然是最为昂贵的存储器，通过数据压缩能够使大数据压缩为能够内存存储的较小的数据，从而保证内存处理。另外，在内存数据库中，数据压缩通常采用简单的数值型压缩编码代替复杂的长字符串数据，当支持在压缩数据上直接处理时，基于压缩编码的处理性能大大高于基于原始字符串上的处理性能，数据压缩也能够提高查询性能。",2017/5/8
软件,关联规则可用哪些软件分析？spss19.0可以吗？,你好！建议试一下数据挖掘软件，目前已有很多，可以网上搜索到,2018/1/3
精简数据立方体方法的缺点是什么？,"ppt上只写了优点没有写缺点。在网上搜索后了解到实现精简立方体需要用到QC-TREE，在构造树的过程中会生成大量的临时节点，占用了IO和CPU。不知道是不是这样。。。",,2017/11/11
参考书,老师，请问这门课配套的教材是哪本？,你好！本课程是王珊 萨师煊老师的《数据库系统概论》（第5版）中的新技术篇内容的扩展。,2018/3/27
论文下载的问题,"老师，我现在工作了，不在教科网内，您提供的论文列表我去下载有些困难。我看到目录中有您作为第一作者的论文，您能否在百忙中把您的论文发我一份呢？万分感谢",,2018/10/20
"书籍",老师有哪些好的教材推荐啊？,,2018/10/19
向量处理技术,何为向量处理技术，其原理是什么？,"向量处理模型简单来说就是一种批量处理模型即一次数据处理的粒度不是一条记录，而是一个向量长度（一定长度的数组，长度以适合L1 cache处理为基准），这样一次处理时的数据及中间结果都可以缓存到L1 cache中，提高数据处理的性能。向量处理模型是当前高性能内存数据库的主要特征，比如MapD，SQL Server 2019等。以下三篇文献说明了向量处理模型的原理，可以供参考： Nes N . MonetDB/X100: Hyper-Pipelining Query Execution[J]. 2005.Zukowski M, Boncz P A, Nes N, et al. MonetDB/X100 - A DBMS In The CPU Cache[J]. IEEE Data Engineering Bulletin, 2005, 28(28):17-22.Timo Kersten, Viktor Leis, Alfons Kemper, Thomas Neumann, Andrew Pavlo, and Peter Boncz. 2018. Everything you always wanted to know about compiled and vectorized queries but were afraid to ask. Proc. VLDB Endow. 11, 13 (September 2018), 2209-2222. DOI: https://doi.org/10.14778/3275366.3284966",2019/10/12
"OLAP和oltp融合是不是商业上所说的超融合数据库","OLAP和oltp融合是不是商业上所说的超融合数据库",同学你好，超融合数据库是指融合交易型数据库（OLTP）、分析型数据库（OLAP）和大数据/数据湖的一种数据库技术。,2020/6/30
