高级篇,,,,,,
序号,章节,具体知识点,标题,内容,回答,提问时间
52,第4讲 数据依赖的公理系统（续）,模式分解的基本方法,第三章 关系数据理论,"1.如何定义1NF?2.判断有无无损连接性和是否保持函数依赖的依据是什么？例如 关系R（U,F）,U={A,B,C,D},F={AB→C,B→D},将关系R分解成R1(ABC)和R2(BCD),R1与R2。R1与R2有无无损连接性？是否保持函数依赖？",,2018/4/1
53,第3讲 函数依赖及范式的概念(续),BC范式（BCNF），规范化小结,范式,如果关系R的候选码都是由单属性构成的，则R的最高范式是否能确定？,能确定，最高范式为2NF,2018/3/26
54,第4讲 数据依赖的公理系统,数据依赖的公理系统,XZ->YZ这样的写法中，XZ是X和Z的什么运算？,XZ->YZ这样的写法中，XZ是X和Z的什么运算？交，并，除啥的？还是,"符号X、Y、Z表示一个属性或属性集。XY表示X和Y组成的属性集。例如，X表示学号、年龄，Y表示学院，则XY表示学号、年龄、学院组成的属性集",2018/12/24
55,第17讲 故障的种类,"故障的种类",数据库中索引被破坏会有什么影响,数据库中索引被破坏会有什么影响,"索引是提供数据存取路径的一种方式。某个索引被破坏了，意味着通过该索引访问的数据就有可能出错。但是不影响顺序查找和通过其他索引访问该关系。需要注意的是：一般索引文件都提供了校验码，也就是一旦索引文件被破坏，通过检验该校验码，系统会检测出该索引文件中存在的错误，并作出适当的处理",2018/12/22
56,第7讲 E-R模型及设计,E-R图及其设计,联系类型,例题一仓库和零件关系，零件根据类别分在若干仓库，不应该是多对多的关系吗？,,2018/12/13
57,第12讲 数据库编程之过程化SQL,过程化SQL,对于整体的结构怎能写还是不太清楚，怎么办,对于整体的结构怎能写还是不太清楚，怎么办,先看下书，再多写几遍，就能记住了,2018/11/30
58,第3讲 函数依赖及范式的概念,什么是函数依赖,关于传递函数依赖,"在关系模式STJ(S,T,J)中，S表示学生，T表示教师，J表示课程。(S,J)->T，(S,T)->J，T->J候选码：(S,J)，(S,T)问题：由(S,T)->J，T->J，是否可得出主属性J部分依赖于码(S,T)？由(S,J)->T，T->J  是否可以得出主属性J传递依赖于码（S,J）？上面的两个推论是否正确？ 依传递依赖的定义，X->Y，Y不是X子集，Y->Z，Y推不出X，主属性是满足传递依赖的。","由(S,T)->J， T->J，可以得出主属性 J 部分依赖于码(S,T)。由(S,J)->T，T->J   表面上看，似乎 主属性 J传递依赖于码 （S,J）。实际上 J 是（S,J）的子集，主属性 J 不是传递依赖于码 （S,J）。(S,J)->J 是一个平凡的函数依赖。请阅读《数据库系统概论》P.181 。",2018/11/21
59,第3讲 函数依赖及范式的概念(续),BC范式（BCNF），规范化小结,判断码,请问该怎么通过 函数依赖 判断一个关系中的码,设X为R 中的属性或属性集，若U完全函数依赖于X，则X为R的候选码，简称码 如果U部分函数依赖于X，则X为超码 若关系R中有多个候选码，则选定其中一个作为主码 如果整个属性组是码，则称之为全码,2018/11/19
60,"第4讲 数据依赖的公理系统（续）",模式分解的基本方法,PPT思考题第一题,为啥不能根据定义来判断一个分解的无损链接性？,"按照定义：ρ={R1<U1, F1>, …, Rn<Un, Fn>}是 R<U, F>的一个分解，若对R<U, F>的任何一个关系 r , 均有 r = r在ρ中各关系模式上投影的自然连接成立，则称分解ρ具有无损连接性。简称ρ为无损分解。
即要求R<U, F>的任何一个关系 r ，  r 在ρ中各关系模式上投影的自然连接 等于 r 。那你就要无休止地对任何一个关系 r 进行验证。因为R的值 r 是在不断变化的，所以直接按照定义6.18，不可能去鉴别一个分解是否就有无损连接性的。",2018/11/16
61,第4讲 数据依赖的公理系统,数据依赖的公理系统,属性集闭包,数据依赖的公理系统PPT思考题第二题答案想问答案是不是XF+={XYZCWV},应该是,2018/11/16
62,第7讲 E-R模型及设计,E-R图及其设计,零件按照所属的不同产品分别放在仓库中才应该是一对多吧老师,零件按照所属的不同产品分别放在仓库中才应该是一对多吧老师,同学你好，原材料按照类别放在若干仓库中，所谓的按类别，就是说一种类别的只能放在一个仓库，所以是一对一,2019/7/6
63,"第22讲 并发调度的可串行性",可串行化调度与冲突可串行化调度,怎么在事务操作多的情况下判断是否是冲突可串化调度,怎么在事务操作多的情况下判断是否是冲突可串化调度,"同学你好，事务操作多的情况下，可以通过的方式来判断是否是冲突可串行化调度。当图找那个存在环时，则S不是冲突可串行化；否则S冲突可串行化，而且任意一个拓扑顺序就是一个冲突等价串行顺序。    构造方法：对于调度S中任意两个操作<pi(A)，qj(A)>，要求是不同事务对于同一对象的操作，并且其中一个操作需要是写操作，若存在pi(A)<qj(A)，则可以判断事务Ti优先与Tj，优先图中存在Ti→Tj的弧。",2019/6/19
64,"第2讲 关系数据理论","为什么要学习关系数据理论",函数依赖,如何根据函数依赖求出关系中的侯选码?,,2019/6/8
65,"第1讲 《数据库系统概论（高级篇）》前言",《数据库系统概论（高级篇）》前言,关系数据库,关系数据库和非关系数据库之间的优缺点？,"关系型数据库的优势：1. 复杂查询可以用SQL语句方便的在一个表以及多个表之间做非常复杂的数据查询。2. 事务支持使得对于安全性能很高的数据访问要求得以实现。非关系型数据库的优势：1. 性能NOSQL是基于键值对的，可以想象成表中的主键和值的对应关系，而且不需要经过SQL层的解析，所以性能非常高。2. 可扩展性同样也是因为基于键值对，数据之间没有耦合性，所以非常容易水平扩展。对于这两类数据库，对方的优势就是自己的弱势，反之亦然。",2019/6/8
66,第3讲 函数依赖及范式的概念(续),BC范式（BCNF），规范化小结,关于范式的问题,"如果关系模式R满足1NF，且它的候选码都是由单个属性构成的，则R最高范式必定是（ ）。为啥是B A、1NF B、2NF C、3NF D、BCNF","由于候选码都是由单个属性组成，所以消除了部分函数依赖，因此该关系模式至少满足2NF范式，也就是R满足的最高范式必定是2NF。这里的“最高”可能存在误解，可以理解为：R肯定满足的范式是2NF",2019/6/7
67,第4讲 数据依赖的公理系统,数据依赖的公理系统,如何求码,老师您好我想问一下规范化中如何用计算的方法求出关系中的码呢,"同学你好。求解关系模式中所有候选码时，最直观的方法就是采取枚举法，将所有可能的候选码列举出来。什么是可能的候选码？所有出现在关系模式中属性的组合，都有可能是候选码。我们的目标就是去掉那些明显不可能是候选码的属性组合，然后对可能是候选码的属性组合进行验证。比如：在关系模式 R(U，F)中，U={A，B，C，D，E，F}. 函数依赖F={AE→F，A→B，BC→D，CD→A， CE→D}，求解关系中的候选码。首先列出所有可能的候选码包含单个属性的有：A B C D E F包含两个属性的有：AB AC AD AE AF BC BD BE BF CD CE CF…………包含全属性的有：ABCDEF    规则：如果某一个属性组合是候选码，则该属性组合的任何超集，一定不是候选码。    如何去判定某一个属性组合是候选码？    我们采用自顶向下、广度优先的方式，从单个属性开始，采用教材中求解闭包的方法，判断该属性是否为候选码，如果该属性为候选码，则包含该属性的所有属性组合一定不是候选码。如果该属性不是候选码，我们顺次检查下一个单个属性是否为候选码。采用类似的方法，直至所有可能的候选码都被检查到。以例题为例，首先检查单个属性的候选码：(A)+={AB}≠U , (B)+={B}≠U , (C)+={C}≠U, (D)+={D}≠U, (E)+={E}≠U, (F)+={F}≠U而后检查两个属性的候选码：(AB)+={AB}≠U, (AC)+={AC}≠U, (AD)+={AD}≠U, (AE)+={ABF}≠U, (AF)+={ABF}≠U, (BC)+={ABCD}≠U, (BD)+={BD}≠U, (BE )+={BE}≠U, (BF )+={BF}≠U, (CD )+={ABCD}≠U,(CE )+={ABCDEF}=U 因此CE为候选集。任何该属性组合的超集都不是候选码，即ACE, BCE, CDE,CEF, ABCE, ADCE, AFCE, BDCE, BFCE, DFCE……我们不需要对这些属性组合进行求解闭包，判断是否为候选码的检查方法，可以直接排除。类似地，继续检查剩余的其他候选码，直至所有的候选码都被检查或排除。最终，我们可以求解到，在该题中，CE为唯一候选码。采用上述方法，可以没有遗漏求解出关系中所有的候选码。为了对检查过程进行简化，以更快地求解，可以参考“LRN”法来判断和筛选，相关方法可以参考https://blog.csdn.net/Wonz5130/article/details/80464679。",2019/5/25
68,第9讲 数据库的物理设计,数据库的物理设计2,聚簇和主键索引的关系？,"例如 职工表，主键是empno，那么存储结构应该是按empno组织B+树存储，树的叶子节点是empno按序排列的。但是，如果又在部门号上建立聚簇，例如：create cluster emp_dept_cluster(deptno number(6)) size 1024;create index emp_dept_cluster_index on cluster emp_dept_cluster;目的是以部门号组织存储结构，把相同部门的职工数据尽量存放在同一个块上。那么，按deptno聚簇和表的主键empno在存储结构上是不是会有矛盾呢？聚簇后的主键又起到什么作用呢？","同学你好！感谢你学习数据库系统概论（高级篇）课程。建立索引不会改变表的物理存储结构，建立B+树索引是指建立一个数据结构为B+树的索引表，叶结点存储的是指向对应元组物理地址的指针，从而通过查询索引表达到快速查询。在empno上建立索引，不会改变职工表物理存储结构。聚簇：将在某个属性（组）上值相同的元组存放在连续的物理块上。对deptno属性使用聚簇，则会使deptno属性上具有相同值的元组存放在连续的物理块中，改变职工表的物理存储结构。一个关系（表）只能加入一个聚簇。建立主键索引+对deptno聚簇后的物理结构是：一个主键索引表用于快速查询，表中的元组的物理地址按照deptno属性值是否相同进行连续存放。具体资料可以查看《数据库系统概论（第5版）》P236页。祝，学习进步~",2020/11/20
69,"第18讲 恢复技术",恢复的实现技术,在静态转储方式中，什么情况下需要做undo操作？,在静态转储方式中，数据库毁坏后重新装入后援副本把数据库恢复到转储时刻的正确状态。由于静态转储得到的是一个一致性副本，因此数据库恢复到该时刻应该也处于一致性状态。之后只需根据日志文件对已完成的事务做redo处理，但什么情况下需要做undo操作呢？我理解的是从转储结束点的一致性状态到故障发生时应该是只有完成的事务需要恢复，对于未完成的事务不做处理即可。,"同学你好！感谢你学习数据库系统概论（高级篇）课程。从静态转储的副本恢复，可以只执行已完成的事务。PPT的方案是一般的策略，就按日志记录执行，遇到未完成的事务，执行回滚。祝，学习进步~从静态转储的副本恢复，可以只执行已完成的事务。PPT的方案是一般的策略，就按日志记录执行，遇到未完成的事务，执行回滚。祝，学习进步~",2020/12/15
70,第12讲 数据库编程之过程化SQL,存储过程与函数,存储过程,老师，存储过程可以举其他的例子讲一下吗？听了课之后还是不会做题,"同学你好！感谢你学习数据库系统概论（高级篇）课程。举例：下面的存储过程实现用户验证的功能，CREATE PROCEDURE VALIDATE @USERNAME CHAR(20),@PASSWORD CHAR(20),@LEGAL BIT OUTPUT
AS IF EXISTS(SELECT * FROM REN WHERE SNAME = @USERNAME AND PWD = @PASSWORD) SELECT @LEGAL = 1 ELSE SELECT @LEGAL = 0 其中in参数USERNAME、 PASSWORD ，out参数LEGAL 输入用户名和密码，判断表中是否存在，如果不成功，LEGAL返回0，成功则返回1.存储过程是将高级语言的 过程化控制 融入到SQL中。可以将存储过程当做对数据库中表的操作（增删改查）的无显式返回值的函数。祝，学习进步~",2020/12/11
71,第7讲 E-R模型及设计,E-R图及其设计,请问这个零件的例子画成ER图应该怎么画,单个实体型内部是可以有多对多联系的，比如零件这个实体内部，一个大型零件由多个小型零件构成，反之，一种小型零件可以用于构成多种大型零件。这就是零件内部的多对多联系。,"同学你好！感谢你学习数据库系统概论（高级篇）课程。E-R图如下:祝，学习进步~",2020/12/7
72,"第8讲 数据库逻辑设计",E-R模型向关系模型的转换,为什么降低规范化能降低代价,"当查询经常涉及两个或多个关系模式的属性时，系统必须经常地进行连接运算，连接运算的代价是相当高的。这种情况下，需要降低规范化程度。","同学你好！感谢你学习数据库系统概论（高级篇）课程。关于SQL的连接操作的经典算法思想可以参考《数据库系统概论（第5版）》P278页。多表进行连接操作时是耗时的，系统经常对多个表进行连接运算，此时是需要对效率，时间与规范化的取舍。规范化的降低（比如，将表进行合并），此时对多个表的连接查询转换为单表的查询，提升效率，节省时间。祝，学习进步~",2020/12/7
